"Anaziti","Nis","26","REX.FILIUS","","BoHa XIX: 249","642","","",,,"BoHa XIX: Taf.2","BoHa XIX: 118","BoHa XIX: Taf. 2","1","","","","",""
"Armamuwa","Nis","27","EUNUCHUS2","","BoHa XIX: 249","642","LUNA-BOS","",,,"BoHa XIX: Taf.2","BoHa XIX: 118","BoHa XIX: Taf. 2","3","","","","",""
"","Nis","28","EUNUCHUS2","","BoHa XIX: 249","","","",,,"BoHa XIX: Taf.3","BoHa XIX: 118","BoHa XIX: Taf. 3","3","","","","",""
"","SBo II","43","BONUS2 SCRIBA","",,"","","",,,"SBo II: p.67","SBo II, p. 13,18,24","","3","","","","",""
"Armanani","Nis","29","PITHOS.VIR.DOMINUS","","BoHa XIX: 249","642","","",,"BoHa XIV: taf. XXX","BoHa XIX: Taf.3","BoHa XIX: 118-119","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","30","","",,"","","",,"StMe VI p.147","BoHa XIX: Taf.3","BoHa XIX: 119","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","31","","",,"","","",,"StMe VIp.148","BoHa XIX: Taf.3","BoHa XIX: 119","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","32","","",,"","","",,,"BoHa XIX: Taf.3","BoHa XIX: 119","BoHa XIX: Taf. 3","51","","","","PITHOS.VIR.DOMINUS",""
"","Nis","33","","",,"","","",,,"BoHa XIX: Taf.3","BoHa XIX: 119","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","34","","",,"","","",,,"BoHa XIX: Taf.3","BoHa XIX: 119-120","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","35","","",,"","","",,,"BoHa XIX: Taf.4","BoHa XIX: 120","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","36","","",,"","","",,,"BoHa XIX: Taf.4","BoHa XIX: 120","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","37","","",,"","","",,,"BoHa XIX: Taf.4","BoHa XIX: 120","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","38","","",,"","","",,,"BoHa XIX: Taf.4","BoHa XIX: 120","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","39","BONUS2 VIR2","",,"","","",,,"","BoHa XIX: 120","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","40","CULTER","",,"","","",,,"","BoHa XIX: 120","BoHa XIX: Taf. 3","51","","","BONUS2 VIR2","",""
"","Nis","41","REX.FILIUS","",,"","","",,,"","BoHa XIX: 121","BoHa XIX: Taf. 3","51","","","","",""
"","Nis","42","REX.FILIUS","",,"","","",,,"","BoHa XIX: 121","BoHa XIX: Taf. 3","51","","","SCRIBA","",""
"","Nis","43","[REX.FILIUS]","",,"","","",,,"","BoHa XIX: 121","BoHa XIX: Taf. 3","51","","","SCRIBA","",""
"","Nis","44","REX.FILIUS ","",,"","","",,,"","BoHa XIX: 121","BoHa XIX: Taf. 3","51","","","SCRIBA(?)","",""
"","Nis","45","REX.FILIUS ","",,"","","",,,"","BoHa XIX: 121","BoHa XIX: Taf. 4","51","","","SCRIBA 2","",""
"","Nis","46","REX.FILIUS ","",,"","","",,,"","BoHa XIX: 121","BoHa XIX: Taf. 4","51","","","SCRIBA 2","",""
"","Nis","47","REX.FILIUS","MAGNUS.HATTI.[DOMINUS]",,"","","",,,"","BoHa XIX: 121","BoHa XIX: Taf. 4","51","","","MAGNUS.(BONUS2).VITIS","SCRIBA 2",""
"","Nis","48","MAGNUS.(BONUS2).VITIS","SCRIBA 2",,"","","",,,"","BoHa XIX: 122","BoHa XIX: Taf. 3","51","","","MAGNUS.HATTI.[DOMINUS]","",""
"","Nis","51","","",,"","","",,,"","BoHa XIX: 122","BoHa XIV: taf. XXX","51","","","","",""
"","SMEA ","40/1 6","BONUS2 VIR2","",,"","","",,,"BoHa XIV: taf. XXX","BoHa XIV: 76",,"51","","","","",""
"","Tars. II ","2","BONUS2 VIR2","",,"","","",,,"StMe VI taf. 36","StMe VI pp.164-168",,"51","","","DOMINUS+MI(?)","",""
"","Ashm. ","7","BONUS2 VIR2","",,"","","",,,"StMe VI taf. 36","StMe VI pp.164-168",,"51","","","","",""
"","Bog. III ","11","REX.FILIUS","",,"","","",,,,,,"51","","","SCRIBA 2","",""
"","Bog. V ","9","REX.FILIUS","MAGNUS.(BONUS2).VITIS",,"","","",,,,,,"51","",""," SCRIBA 2","",""
"","Msk.","73.266 A104","REX.FILIUS","",,"","","",,,,,,"51","","","","",""
"","Nis","29","","",,"","","",,,,,,"51","","","","",""
"","Nis","30","","",,"","","",,,,,,"51","","","","",""
"","Nis","31","","",,"","","",,,,,,"51","","","","",""
"","Nis","32","","",,"","","",,,,,,"51","","","","",""
"","Nis","33","","",,"","","",,,,,,"51","","","","",""
"","Nis","34","","",,"","","",,,,,,"51","","","","",""
"","Nis","35","","",,"","","",,,,,,"51","","","","",""
"","Nis","36","","",,"","","",,,,,,"51","","","","",""
"","Nis","37","","",,"","","",,,,,,"51","","","","",""
"","Nis","38","","",,"","","",,,,,,"51","","","","",""
"","Nis","39","BONUS2 VIR2","",,"","","",,,,,,"51","","","","",""
"","Nis","40","CULTER","",,"","","",,,,,,"51","","","BONUS2 VIR2","",""
"","Nis","41","REX.FILIUS","",,"","","",,,,,,"51","","","","",""
"","Nis","42","REX.FILIUS","",,"","","",,,,,,"51","","","SCRIBA","",""
"","Nis","43","REX.FILIUS","",,"","","",,,,,,"51","","","SCRIBA","",""
"","Nis","44","REX.FILIUS","",,"","","",,,,,,"51","","","SCRIBA","",""
"","Nis","45","REX.FILIUS","",,"","","",,,,,,"51","","","SCRIBA 2","",""
"","Nis","46","REX.FILIUS","",,"","","",,,,,,"51","","","SCRIBA 2","",""
"","Nis","47","REX.FILIUS","MAGNUS.BONUS2 VITIS",,"","","",,,,,,"51","","","SCRIBA 2","MAGNUS.HATTI.DOMINUS",""
"","Nis","48","SCRIBA 2","MAGNUS.HATTI.DOMINUS",,"","","",,,,,,"51","","","MAGNUS.BONUS2 VITIS","",""
"","Nis","51","","",,"","","",,,,,,"51","","","","",""
"","Glyptik","246","REX.FILIUS","",,"","","",,,,,,"51","","","","",""
"","StMe VI","VIb 1.6","BONUS2 VIR2","",,"","","",,,,,,"51","","","","",""
"","StMe VI","VIb 1.7","BONUS2","",,"","","",,,,,,"51","","Another name on seal = LUNA-X-ta","","",""
"Armapihaya","Nis","52","REX.FILIUS","","250","642","","",,,"BoHa XIX: Taf.4","BoHa XIX: 122","BoHa XIX: Taf. 4","1","","","","",""
"Armapihami","Nis","53","BONUS2 SCRIBA","","BoHa XIX: 250","642","","",,,"BoHa XIX: Taf.4","BoHa XIX: 123","BoHa XIX: Taf. 4","5","","","","",""
"","Nis","54","SCRIBA2 DOMINUS","",,"","","",,,"BoHa XIX: Taf.4","BoHa XIX: 123","BoHa XIX: Taf. 4","5","","","","",""
"","Nis","55","BONUS2 EUNUCHUS2 L.135.2","",,"","","",,,"BoHa XIX: Taf.53","BoHa XIX: 123","BoHa XIX: Taf. 4","5","","","","",""
"","Nis","56","EUNUCHUS2","",,"","","",,,"BoHa XIX: Taf.55","BoHa XIX: 123","BoHa XIX: Taf. 4","5","","","","",""
"","Nis","57","EUNUCHUS2","",,"","","",,,"","BoHa XIX: 123","BoHa XIX: Taf. 4","5","","","VIR2","",""
"",,,,,,"","","",,,"",,,,,,,,
"",,,,,,"","","",,,"",,,,,,,,
"Armapiya","Nis","58","BONUS2 SCRIBA","","BoHa XIX: 250","642","LUNA-pi-i(a)","",,,"BoHa XIX: Taf.5","BoHa XIX: 123","BoHa XIX: Taf. 5","7","","","","",""
"","Nis","59","BONUS2 SCRIBA","",,"","","",,,"BoHa XIX: Taf.5","BoHa XIX: 123","BoHa XIX: Taf. 5","7","","","","",""
"","Nis","60","SCRIBA (?)","",,"","","",,,"BoHa XIX: Taf.5","BoHa XIX: 124","BoHa XIX: Taf. 5","7","","","","",""
"","Nis","61","BONUS2 URCEUS","",,"","","",,,"BoHa XIX: Taf.5","BoHa XIX: 124","BoHa XIX: Taf. 5","7","","","","",""
"","Nis","62","BONUS2 (?) VIR2","",,"","","",,,"","BoHa XIX: 124","BoHa XIX: Taf. 5","7","","","","",""
"","Glyptik","187","BONUS2 SCRIBA","",,"","","",,,"SBo II: p.71","BoHa XIV: 66","BoHa XIV: taf. XXI","7","","","","",""
"","SBo II","102","SCRIBA-la III","",,"","","",,,"BoHa XIV: taf. XXI","SBo II, p. 13,19,24,28,45","","7","","","","",""
"Armapiya (?)","Nis","63","","","","642","","",,,"","BoHa XIX: 124","BoHa XIX: Taf. 5","1","","","","",""
"Armapi-[...]","Nis","64","","","","642","","",,,"BoHa XIX: Taf.5","BoHa XIX: 123","BoHa XIX: Taf. 5","5","","","","",""
"","Nis","58","(BONUS2) SCRIBA","",,"","","",,,"BoHa XIX: Taf.5","BoHa XIX: 123","BoHa XIX: Taf. 5","5","","","","",""
"","Nis","59","(BONUS2) SCRIBA","",,"","","",,,"BoHa XIX: Taf.5","BoHa XIX: 124","BoHa XIX: Taf. 5","5","","","","",""
"","Nis","60","SCRIBA (?)","",,"","","",,,"BoHa XIX: Taf.5","BoHa XIX: 124","BoHa XIX: Taf. 5","5","","","","",""
"","Nis","61","(BONUS2) URCEUS","",,"","","",,,"","BoHa XIX: 124","BoHa XIX: Taf. 5","5","","","","",""
"Armawalwi","Nis","65","EUNUCHUS2","","BoHa XIX: 250","642","","",,,"BoHa XIX: Taf.5","BoHa XIX: 123","BoHa XIX: Taf. 5","3","","","","",""
"","Nis","66","MAGNUS.PASTOR","",,"","","",,,"BoHa XIX: Taf.5","BoHa XIX: 125","BoHa XIX: Taf. 5","3","","","EUNUCHUS2","",""
"","Nis","67","","",,"","","",,,"BoHa XIX: Taf.5","BoHa XIX: 125","BoHa XIX: Taf. 5","3","","","","",""
"Armaziti","Nis","68","SCRIBA","","BoHa XIX: 250","642","LUNA-VIR.ZI/A","",,"StMe VI p.151","BoHa XIX: Taf.5","BoHa XIX: 125","BoHa XIX: Taf. 5","5","","another name on seal: Zuwa","","",""
"","SBo II","44","BONUS2 SCRIBA","",,"","","",,,"SBo II: p.67","SBo II, p. 13,24,29","SBo II. Taf. II","5","","","","",""
"","SBo II","45","BONUS2 SCRIBA","",,"","","",,,"SBo II: p.67","SBo II, p. 13,24,29","","5","","","","",""
"","SBo II","46","BONUS2 SCRIBA","",,"","","",,,"SBo II: p.67","SBo II, p. 13,24,29","","5","","","","",""
"","StMe VI","VIb 1.16","BONUS2","",,"","","",,,"StMe VI taf. 38","StMe VI pp.164-168",,"5","","Another reading: Arma-wa-zi","","",""
"Arma-[...]","Nis","69","","","BoHa XIX: 250","642","","",,,"","BoHa XIX: 125",,"1","","","","",""
"Arma-x","Nis","70","","","","642","","",,,"","BoHa XIX: 125","BoHa XIX: Taf. 5","1","","","","",""
"Arnilizi/a","Nis","71","REX.FILIUS","","BoHa XIX: 250","642","Arnilizi/a","",,,"BoHa XIX: Taf.5","BoHa XIX: 125","BoHa XIX: Taf. 5","6","","","BONUS2 MAGNUS.DOMUS.FILIUS","",""
"","Nis","72","REX.FILIUS","",,"","","",,,"BoHa XIX: Taf.6","BoHa XIX: 126","BoHa XIX: Taf. 6","6","","","BONUS2 MAGNUS.SCRIBA","",""
"","Nis","73","REX.FILIUS","",,"","","",,,"BoHa XIX: Taf.6","BoHa XIX: 126","BoHa XIX: Taf. 6","6","","","MAGNUS.DOMUS.FILIUS","",""
"","Nis","74","REX.FILIUS","",,"","","",,,"","BoHa XIX: 126","BoHa XIX: Taf. 6","6","","","MAGNUS.SCRIBA","",""
"","Glyptik","239","REX.FILIUS","",,"","","",,,"BoHa XIV: taf. XXIX","BoHa XIV: 74","BoHa XIV: taf. XXIX","6","","","MAGNUS SCRIBA","",""
"","Glyptik","240","REX.FILIUS","",,"","","",,,"BoHa XIV: taf. XXIX","BoHa XIV: 74","BoHa XIV: XXIX","6","","","MAGNUS.DOMUS.FILIUS","",""
"Asmi-Šarruma","Nis","75","REX.FILIUS","","BoHa XIX: 251","642","","",,,"BoHa XIX: Taf.6","BoHa XIX: 126","BoHa XIX: Taf. 6","1","","","","",""
"Asmuhepa","Nis","11","REX.FILIA","","BoHa XIX: 248","642","","",,,"BoHa XIX: Taf.1","BoHa XIX: 116","BoHa XIX: Taf. 1","1","","","","",""
"Atta","Nis","76","BONUS2 SCRIBA","","BoHa XIX: 251","642","","",,,"BoHa XIX: Taf.6","BoHa XIX: 126","BoHa XIX: Taf. 6","4","","","L.414-DOMINUS+MI(?)","",""
"","Nis","77","BONUS2 SCRIBA","",,"","","",,,"BoHa XIX: Taf.6","BoHa XIX: 126","BoHa XIX: Taf. 6","4","","","L.414-DOMINUS+MI(?)","",""
"","Nis","78","SCRIBA","",,"","","",,,"BoHa XIX: Taf.6","BoHa XIX: 126","BoHa XIX: Taf. 6","4","","","","",""
